"carat","cut","color","clarity","depth","table","price","x","y","z"
0.27,"Premium","E","VS1",61.5,58,470,4.17,4.22,2.58
0.58,"Ideal","E","VS2",61.6,55,1884,5.33,5.38,3.3
0.86,"Fair","G","VS1",64.6,58.8,3756,5.95,6.04,3.87
0.5,"Ideal","H","SI1",62.2,57,1140,5.07,5.09,3.16
0.37,"Premium","E","VS2",60.3,58,1041,4.66,4.63,2.8
0.9,"Ideal","D","SI1",61.6,55,5081,6.23,6.27,3.85
1.54,"Ideal","E","VS2",62,56,14529,7.46,7.43,4.61
0.87,"Very Good","J","SI1",63.1,60,2379,6.03,5.96,3.78
1.5,"Good","J","VS2",63.6,58,7177,7.2,7.23,4.59
1.52,"Premium","G","VS1",61.4,58,13034,7.38,7.35,4.52
1.8,"Ideal","H","VS1",62.3,56,15105,7.79,7.76,4.84
0.32,"Ideal","J","VVS1",62.3,54,494,4.41,4.43,2.75
0.42,"Very Good","G","SI1",62.2,58,737,4.73,4.75,2.95
0.3,"Ideal","D","VS2",62.6,56,911,4.31,4.28,2.69
0.76,"Ideal","I","VS2",61.8,58,2551,5.84,5.87,3.62
0.3,"Good","G","VS1",63.6,54,605,4.25,4.31,2.72
2.01,"Ideal","F","SI2",62.2,56,17078,8.05,8.08,5.02
1.69,"Premium","F","VS2",58.7,59,16583,7.87,7.78,4.59
0.4,"Ideal","I","SI1",61.2,55,692,4.77,4.8,2.93
0.72,"Premium","F","VVS2",61.6,59,3105,5.78,5.72,3.54
1.02,"Very Good","F","VS2",63.3,59,6597,6.4,6.37,4.04
0.52,"Ideal","H","VVS1",61.7,55,1847,5.2,5.17,3.2
0.51,"Very Good","H","VS2",63.5,60,1268,5.04,5.01,3.19
0.41,"Ideal","D","VS1",61.3,54,1151,4.8,4.83,2.95
2.05,"Premium","J","VS1",62.4,58,14224,8.08,8.13,5.06
0.51,"Ideal","G","VS2",62,56,1343,5.11,5.18,3.19
0.56,"Premium","F","VS2",59.6,58,1654,5.34,5.36,3.19
1.62,"Very Good","E","SI2",60.8,59,9355,7.57,7.62,4.62
0.53,"Premium","E","SI2",59.9,58,984,5.31,5.27,3.17
0.42,"Very Good","H","VS2",62.9,56,773,4.72,4.79,2.99
0.32,"Ideal","F","IF",62.2,55,1010,4.38,4.4,2.73
0.46,"Ideal","I","VVS2",62.7,56,1040,4.9,4.93,3.08
0.32,"Ideal","G","VVS2",61.1,55,730,4.42,4.45,2.71
0.3,"Ideal","D","VS2",62.4,55,790,4.32,4.3,2.69
0.61,"Ideal","E","VS2",59.7,57,2115,5.57,5.52,3.31
0.41,"Very Good","E","VS1",59.8,61,1079,4.79,4.85,2.88
2.01,"Ideal","G","SI1",61.6,57,12829,8.08,8,4.95
1.51,"Very Good","F","SI2",63.4,58,8050,7.29,7.22,4.6
0.75,"Ideal","E","VS1",62.5,57,3555,5.8,5.85,3.64
1.02,"Premium","E","SI2",59.9,58,4478,6.6,6.55,3.94
1.6,"Ideal","F","SI2",61.7,56,10472,7.5,7.53,4.64
1.13,"Premium","H","SI2",61.1,59,4619,6.73,6.65,4.09
0.7,"Ideal","D","SI1",61.8,56,2872,5.63,5.73,3.51
2.22,"Very Good","J","SI1",58.7,60,13782,8.51,8.57,5.01
