"carat,""cut"",""color"",""clarity"",""depth"",""table"",""price"",""x"",""y"",""z""";
"0.38,""Ideal"",""G"",""SI1"",62.1,54,969,4.67,4.64,2.9";
"0.7,""Ideal"",""F"",""VS2"",61.8,54,2671,5.68,5.71,3.52";
"0.42,""Ideal"",""G"",""VVS1"",61.9,56,1150,4.8,4.85,2.98";
"0.35,""Premium"",""G"",""VVS1"",59.3,61,984,4.62,4.58,2.73";
"0.83,""Good"",""F"",""SI2"",57.5,61,2358,6.22,6.17,3.56";
"0.71,""Good"",""J"",""VS2"",63.5,64,1644,5.65,5.6,3.57";
"0.74,""Fair"",""E"",""I1"",58.2,65,1865,6.03,5.89,3.47";
"0.3,""Premium"",""G"",""VVS1"",60.6,61,1013,4.35,4.33,2.63";
"0.55,""Ideal"",""E"",""VS2"",62.2,54,1741,5.29,5.26,3.28";
"1.21,""Ideal"",""H"",""SI1"",62.4,56,5948,6.85,6.8,4.26";
"0.76,""Ideal"",""F"",""SI1"",62.6,56,2719,5.82,5.88,3.66";
"0.41,""Very";"Good"",""D"",""SI1"",60.3,63,920,4.8,4.78,2.89"
"1.2,""Ideal"",""H"",""SI1"",61.9,54,6588,6.83,6.9,4.25";
"0.27,""Very";"Good"",""D"",""VVS2"",59.9,59,620,4.23,4.28,2.55"
"0.3,""Ideal"",""D"",""VS2"",62.3,56,911,4.32,4.29,2.68";
"0.37,""Premium"",""F"",""VS2"",59.2,61,894,4.69,4.63,2.76";
"0.91,""Ideal"",""H"",""SI1"",62.4,57,3635,6.18,6.23,3.87";
"1.75,""Premium"",""G"",""VS1"",59.6,60,17191,7.9,7.76,4.67";
"0.4,""Ideal"",""J"",""VS1"",62.6,55,631,4.71,4.75,2.96";
"1.03,""Premium"",""D"",""SI2"",62.5,54,4764,6.5,6.42,4.04";
"0.4,""Very";"Good"",""E"",""VVS2"",62.4,58,1017,4.7,4.76,2.95"
"0.92,""Ideal"",""G"",""SI1"",62.6,56,4173,6.21,6.19,3.88";
"0.51,""Ideal"",""I"",""VS2"",62.1,54,1131,5.12,5.16,3.19";
"0.34,""Premium"",""D"",""VS2"",60.4,60,1033,4.56,4.51,2.74";
"1.07,""Ideal"",""E"",""SI1"",60.4,57,4973,6.62,6.56,3.98";
"0.55,""Premium"",""G"",""VS2"",60.3,62,1556,5.33,5.29,3.2";
"0.25,""Ideal"",""H"",""VS1"",61.5,56,445,4.05,4.08,2.5";
"0.6,""Very";"Good"",""F"",""VS2"",62.1,57,1772,5.37,5.39,3.34"
"1.06,""Ideal"",""F"",""VVS2"",62.1,57,8954,6.5,6.54,4.05";
"0.24,""Very";"Good"",""F"",""VVS1"",61.8,58,478,3.95,3.98,2.45"
"1.36,""Very";"Good"",""E"",""SI2"",61.7,59,7288,7.09,7.2,4.41"
"0.54,""Ideal"",""G"",""VS1"",62.2,56,1637,5.19,5.23,3.24";
"1.51,""Good"",""F"",""VS2"",61,63,13010,7.32,7.39,4.49";
"0.81,""Ideal"",""F"",""VS1"",62.3,55,4412,5.97,6,3.73";
"1.12,""Premium"",""F"",""SI2"",60.5,59,4654,6.79,6.73,4.09";
"0.56,""Premium"",""I"",""VVS1"",60.6,59,1622,5.29,5.33,3.22";
"0.41,""Very";"Good"",""E"",""VVS2"",59.9,60,1233,4.8,4.82,2.88"
"1,""Good"",""E"",""VS1"",60,65,7190,6.48,6.43,3.87";
"0.72,""Ideal"",""F"",""VS2"",62.5,56,2546,5.73,5.76,3.59";
"0.4,""Ideal"",""I"",""VVS2"",62.6,54,751,4.69,4.73,2.95";
